id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Downtown,49.28772,-123.1211,Entire home/apt,150,60,16,2017-02-26,0.17,36,315
13188,Garden level studio in ideal loc.,51466,Riley Park,49.24577,-123.10516,Entire home/apt,119,2,199,2019-06-29,1.74,2,261
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Downtown Eastside,49.27955,-123.10546,Entire home/apt,151,30,56,2018-08-31,0.49,3,313
13490,Vancouver's best kept secret,52467,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,146,30,82,2018-09-30,0.83,1,302
14267,EcoLoft Vancouver,56030,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,7,31,2018-07-08,0.29,1,0
16254,Close to PNE/Hastings Park and East Village,63238,Hastings-Sunrise,49.27734,-123.04152,Entire home/apt,199,3,3,2018-08-26,0.26,1,256
16611,Broadway skytrain station,58512,Grandview-Woodland,49.26382,-123.07194,Entire home/apt,1200,31,3,2018-02-16,0.16,2,90
16711,COMFY STUDIO SUITE for 3,64885,Kensington-Cedar Cottage,49.25559,-123.07284,Entire home/apt,569,1,0,,NA,2,365
17158,Vancouver 4br 3ba house 20min to DT,48673,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,135,4,5,2018-03-31,0.05,1,2
17207,"Unique, functional, 3 bedroom home",64885,Kensington-Cedar Cottage,49.25605,-123.07479,Entire home/apt,575,1,0,,NA,2,365
17765,"Central location, nice little apartment",68672,Mount Pleasant,49.26181,-123.10905,Entire home/apt,119,5,182,2019-06-19,2.21,1,1
18270,private rm in clean central 2BR apt,70437,Mount Pleasant,49.26564,-123.09524,Private room,55,30,117,2018-10-31,1.16,2,306
18589,Commercial Drive B&B,71508,Grandview-Woodland,49.27427,-123.07063,Private room,80,1,360,2019-07-07,3.65,1,0
19527,Charming Apartment in South Granville,74129,Fairview,49.26117,-123.13535,Entire home/apt,108,1,26,2019-07-07,0.23,1,52
20085,Bright & Cheerful Uptown Garden Suite,75986,Mount Pleasant,49.25732,-123.08545,Entire home/apt,110,30,71,2019-01-17,0.62,1,0
20566,Downtown Vancouver Perfect Suite,77672,West End,49.28219,-123.12503,Entire home/apt,230,3,43,2019-06-22,0.38,1,71
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Renfrew-Collingwood,49.23365,-123.05439,Private room,50,2,296,2019-07-03,3.04,3,289
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Renfrew-Collingwood,49.23427,-123.05309,Entire home/apt,66,30,201,2019-04-30,2.16,3,167
24273,"Walker's paradise in Kitsilano
License # (Phone number hidden by Airbnb)",1267409,Kitsilano,49.2626,-123.17308,Entire home/apt,300,2,8,2019-06-18,0.11,2,295
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Downtown,49.27933,-123.12377,Entire home/apt,159,30,30,2018-10-11,0.31,3,276
26234,Downtown Yaletown by COMFYSUITES,109845,Downtown,49.27755,-123.12487,Entire home/apt,169,30,6,2018-08-31,0.2,3,129
30420,FURNISHED MODERN BACHELOR SUITE,131433,West End,49.27795,-123.13173,Entire home/apt,89,30,2,2019-07-08,0.09,1,316
32746,Designer Urban Park View Townhouse,52118,Downtown Eastside,49.28034,-123.10415,Private room,106,30,80,2019-01-06,0.74,3,333
33150,_—“Suite on Main_—ù  near  Q.E Park,143724,Riley Park,49.24714,-123.10502,Entire home/apt,119,4,36,2018-09-20,0.36,1,260
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Grandview-Woodland,49.27351,-123.06945,Entire home/apt,98,2,385,2019-07-08,3.55,1,289
42645,The Charlie by COMFYSUITES,109845,Downtown,49.28001,-123.12475,Entire home/apt,159,30,28,2018-09-06,0.26,3,218
49736,Boutique Studio Apartment in Kits!,227101,Kitsilano,49.2674,-123.14634,Entire home/apt,1950,31,9,2016-08-22,0.09,1,363
68894,Top-of-the-Line House: 5 min walk to Commerical Dr,343195,Grandview-Woodland,49.26705,-123.06081,Entire home/apt,112,4,89,2019-07-03,0.92,2,310
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Downtown Eastside,49.27947,-123.08752,Entire home/apt,300,4,12,2019-07-01,0.25,1,6
72659,Central Convenient Vibrant Neighbourhood!,375168,Grandview-Woodland,49.27357,-123.07024,Entire home/apt,210,7,12,2018-05-23,0.15,1,190
73841,Amazing Downtown Vancouver Condo!,386761,Downtown,49.27659,-123.12481,Entire home/apt,130,30,12,2017-02-02,0.12,1,316
77157,Room with a Garden View!,412802,Arbutus Ridge,49.24675,-123.16711,Private room,150,1,579,2019-06-25,5.72,2,314
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Sunset,49.22293,-123.07785,Entire home/apt,56,30,466,2019-06-03,4.71,2,100
