"","player","yr","draft_pick","height_no_shoes","wingspan","vertical_max"
"1","Blake Griffin",2009,1,80.5,83.25,35.5
"2","Terrence Williams",2009,11,77,81,37
"3","Gerald Henderson",2009,12,76,82.25,35
"4","Tyler Hansbrough",2009,13,80.25,83.5,34
"5","Earl Clark",2009,14,80.5,86.5,33
"6","Austin Daye",2009,15,81.75,86.75,28
"7","James Johnson",2009,16,79,84.75,35
"8","Jrue Holiday",2009,17,75.25,79,34
"9","Ty Lawson",2009,18,71.25,72.75,36.5
"10","Jeff Teague",2009,19,72.25,79.5,36.5
"12","Eric Maynor",2009,20,74.25,74.5,31.5
"13","Darren Collison",2009,21,72.25,75,33.5
"14","Omri Casspi",2009,23,79.75,81.25,32.5
"15","Byron Mullens",2009,24,83.75,85.5,32.5
"16","Damion James",2009,24,78.25,84.75,37
"17","Rodrigue Beaubois",2009,25,73.25,81.75,39
"18","Taj Gibson",2009,26,80.5,88,30
"20","Greivis Vasquez",2009,28,76.75,79.25,28
"21","Wayne Ellington",2009,28,76.25,78.5,38
"22","Toney Douglas",2009,29,73,78,32.5
"23","James Harden",2009,3,76,82.75,37
"24","Jeff Pendergraph",2009,31,80.75,85,35
"25","Jermaine Taylor",2009,32,75.5,80.75,37.5
"26","Dante Cunningham",2009,33,79,83,35
"27","DaJuan Summers",2009,35,79.25,84.75,34.5
"28","Sam Young",2009,36,77.25,82.75,33
"29","DeJuan Blair",2009,37,77.25,86,33
"30","Tyreke Evans",2009,4,76,83.25,34
"31","Derrick Brown",2009,40,79.5,86.5,35.5
"32","Jodie Meeks",2009,41,75,76.5,37
"33","Marcus Thornton",2009,43,74.75,77,33
"34","Chase Budinger",2009,44,78.25,79,38.5
"35","Danny Green",2009,46,77.25,82,33
"36","Gani Lawal",2009,46,79.75,84,34.5
"37","Jack McClinton",2009,51,71.75,74.5,36.5
"38","A.J. Price",2009,52,72.5,75.75,31
"39","Luke Harangody",2009,52,78.25,81.75,31
"40","Patrick Mills",2009,55,71.25,74,33
"41","Jonny Flynn",2009,6,71.25,76,40
"42","Stephen Curry",2009,7,74,75.5,35.5
"43","Jordan Hill",2009,8,81.25,85.5,35
"44","Demar DeRozan",2009,9,77.5,81,38.5
"51","John Wall",2010,1,74.75,81.25,39
"53","Cole Aldrich",2010,11,81,88.75,28
"54","Xavier Henry",2010,12,77.25,83.25,36.5
"55","Ed Davis",2010,13,81,84,36
"56","Patrick Patterson",2010,14,80,85.25,33.5
"57","Larry Sanders",2010,15,81.25,89.75,28
"58","Luke Babbitt",2010,16,79.5,83.25,37.5
"60","Avery Bradley",2010,19,74,79.25,37.5
"61","Evan Turner",2010,2,77.75,80,34.5
"62","James Anderson",2010,20,76.75,80.5,35.5
"63","Craig Brackins",2010,21,80.5,84,35
"64","Trevor Booker",2010,23,78.25,81.75,36
"65","Dominique Jones",2010,25,75.25,81.25,32.5
"66","Jordan Crawford",2010,27,75,79,34.5
"67","Daniel Orton",2010,29,80.75,88.25,30.5
"68","Derrick Favors",2010,3,80.75,88,35.5
"69","Lazar Hayward",2010,30,76.5,84.75,36
"71","Hassan Whiteside",2010,33,82.5,91,31.5
"72","Armon Johnson",2010,34,74,80,38.5
"73","Terrico White",2010,36,75.75,81,40
"74","Darington Hobson",2010,37,77.25,81.25,34
"75","Andy Rautins",2010,38,76.25,79,30.5
"76","Wesley Johnson",2010,4,78.25,85,37
"77","Lance Stephenson",2010,40,76.5,82.5,33
"78","Jarvis Varnado",2010,41,80.25,87.5,32.5
"79","Devin Ebanks",2010,43,79,84.25,32
"81","Tiny Gallon",2010,47,80.5,88.5,28.5
"82","Ryan Richards",2010,49,82.5,85.5,28.5
"83","DeMarcus Cousins",2010,5,81.5,89.75,27.5
"84","Solomon Alabi",2010,50,83.5,89,26
"85","Willie Warren",2010,54,74.5,78,31.5
"86","Derrick Caracter",2010,58,80.25,84.25,30.5
"87","Stanley Robinson",2010,59,78.5,84,37.5
"88","Ekpe Udoh",2010,6,80.75,88.5,33.5
"89","Greg Monroe",2010,7,81.75,86.25,29
"90","Al-Farouq Aminu",2010,8,79.25,87.25,33.5
"91","Gordon Hayward",2010,9,78.75,79.75,34.5
"99","Jimmer Fredette",2011,10,72.75,76.5,33
"100","Klay Thompson",2011,11,77.75,81,31.5
"101","Alec Burks",2011,12,77,82,36
"102","Markieff Morris",2011,13,79.75,82.75,31.5
"103","Marcus Morris",2011,14,79,82,33
"104","Kawhi Leonard",2011,15,78,87,32
"105","Nikola Vucevic",2011,16,82.25,88.5,25
"106","Iman Shumpert",2011,17,76.25,81.5,42
"107","Chris Singleton",2011,18,79.75,85,37.5
"108","Tobias Harris",2011,19,78.5,83,37.5
"109","Derrick Williams",2011,2,79.25,85.5,34.5
"110","Nolan Smith",2011,21,73.5,77.5,34
"111","Kenneth Faried",2011,22,78,84,35
"112","Marshon Brooks",2011,25,76.25,85,38.5
"113","Jordan Hamilton",2011,26,78.75,81.5,32
"114","JaJuan Johnson (Purdue)",2011,27,81,86,38
"115","Norris Cole",2011,28,72.25,74.25,38.5
"116","Cory Joseph",2011,29,74,77.5,35
"117","Enes Kanter",2011,3,81.75,85.5,32.5
"118","Jimmy Butler",2011,30,78,79.5,39
"119","Justin Harper",2011,32,80,83.75,33
"120","Kyle Singler",2011,33,79.5,82.1,30
"121","Shelvin Mack",2011,34,73,79.5,39
"122","Tyler Honeycutt",2011,35,78.75,81,37
"123","Jordan Williams",2011,36,79.75,84.25,30.5
"124","Trey Thompkins",2011,37,80.5,85,30.5
"125","Chandler Parsons",2011,38,80.75,81.5,31.5
"126","Jeremy Tyler",2011,39,81,89,33.5
"127","Tristan Thompson",2011,4,79.5,85.25,35
"128","Jon Leuer",2011,40,82,84,36.5
"129","Darius Morris",2011,41,75.25,79.5,32
"130","Malcolm Lee",2011,43,76,81.75,35.5
"131","Charles Jenkins",2011,44,73.5,79.5,34
"132","Andrew Goudelock",2011,46,73.25,76.25,37
"133","Travis Leslie",2011,47,75,82.5,40.5
"134","Keith Benson",2011,48,82,87.75,36
"135","Josh Selby",2011,49,73.75,77.25,42
"136","Jon Diebler",2011,51,77.25,78,35
"137","DeAndre Liggins",2011,53,77,83,31
"138","E'Twaun Moore",2011,55,74.5,81.5,34.5
"139","Isaiah Thomas",2011,60,68.75,73.75,40
"140","Brandon Knight",2011,8,73.5,78.75,37.5
"141","Kemba Walker",2011,9,71.5,75.5,39.5
"153","Austin Rivers",2012,10,75.5,79.25,37.5
"154","Meyers Leonard",2012,11,83.75,87,32.5
"155","Jeremy Lamb",2012,12,76,83,38
"156","Kendall Marshall",2012,13,75.25,77.5,37
"157","John Henson",2012,14,81,89,30
"158","Moe Harkless",2012,15,79.25,84,37
"160","Tyler Zeller",2012,17,83.25,84,34
"161","Terrence Jones",2012,18,80.25,86.25,34.5
"162","Andrew Nicholson",2012,19,80.5,88,30.5
"163","Michael Kidd-Gilchrist",2012,2,77.75,84,35.5
"164","Jared Sullinger",2012,21,79.75,85.25,31
"165","Fab Melo",2012,22,82.75,86.5,31
"166","John Jenkins",2012,23,75.25,80.5,36.5
"168","Tony Wroten",2012,25,76.75,81,35.5
"169","Miles Plumlee",2012,26,82.5,84.75,40.5
"170","Arnett Moultrie",2012,27,81.5,86.25,37.5
"171","Perry Jones",2012,28,82.25,85.75,38.5
"172","Marquis Teague",2012,29,73,79.25,40.5
"173","Bradley Beal",2012,3,75.25,80,39
"174","Festus Ezeli",2012,30,81.75,89.75,33.5
"175","Jeff Taylor",2012,31,78,78.25,40
"177","Bernard James",2012,33,80.75,87,32.5
"178","Jae Crowder",2012,34,76.75,81.25,34.5
"179","Draymond Green",2012,35,77.75,85.25,33
"180","Orlando Johnson",2012,36,75.75,83.25,39.5
"181","Quincy Acy",2012,37,78.5,86.75,37
"182","Quincy Miller",2012,38,80.75,85.25,36
"183","Khris Middleton",2012,39,78.75,82.75,31
"185","Will Barton",2012,40,77,81.75,34
"186","Tyshawn Taylor",2012,41,74.75,78.25,36.5
"187","Doron Lamb",2012,42,75.25,78.75,33.5
"188","Mike Scott",2012,43,79.25,82.75,32.5
"189","Kim English",2012,44,76.5,78.5,36.5
"190","Darius Miller",2012,46,78,81,37
"191","Kevin Murphy",2012,47,77,78.75,36.5
"192","Kyle O'Quinn",2012,49,80.5,88.75,31.5
"193","Thomas Robinson",2012,5,79.75,87.25,35.5
"194","Kris Joseph",2012,51,78,83,35
"195","Darius Johnson-Odom",2012,55,73.5,79,41.5
"196","Robbie Hummel",2012,58,79.25,80.5,30
"197","Marcus Denmon",2012,59,74.25,77,40
"198","Damian Lillard",2012,6,73.75,79.75,39.5
"199","Harrison Barnes",2012,7,79,83.25,39.5
"200","Terrence Ross",2012,8,78,79.25,37.5
"201","Andre Drummond",2012,9,81.75,90.25,33.5
"213","C.J. McCollum",2013,10,74.25,78.25,38.5
"214","Michael Carter-Williams",2013,11,76.75,79.25,41
"215","Steven Adams",2013,12,82.75,88.5,33
"216","Kelly Olynyk",2013,13,82.75,81.75,29.5
"217","Shabazz Muhammad",2013,14,76.75,83,37
"218","Dennis Schroeder",2013,17,73,79.75,34
"219","Shane Larkin",2013,18,70.25,70.75,44
"220","Victor Oladipo",2013,2,75.25,81.25,42
"221","Tony Snell",2013,20,78,83.5,36.5
"223","Mason Plumlee",2013,22,83.25,83,36
"224","Solomon Hill",2013,23,77.5,81,37.5
"225","Tim Hardaway Jr",2013,24,76.5,79,37.5
"226","Reggie Bullock",2013,25,77.75,80.75,36.5
"227","Andre Roberson",2013,26,78.25,83,36.5
"228","Rudy Gobert",2013,27,84.5,92.5,29
"229","Archie Goodwin",2013,29,75.75,81.5,36
"230","Otto Porter",2013,3,79.5,85.5,36
"231","Allen Crabbe",2013,31,77.25,83.25,36
"232","Carrick Felix",2013,33,76.75,81.25,38.5
"233","Isaiah Canaan",2013,34,71,76.5,40.5
"234","Glen Rice",2013,35,76.5,81.25,40.5
"235","Ray McCallum",2013,36,72.25,75.25,40
"236","Tony Mitchell",2013,37,79.5,86.5,38
"238","Jeff Withey",2013,39,82.75,86,29
"239","Cody Zeller",2013,4,82.75,82.75,37.5
"240","Grant Jerrett",2013,40,80.75,86,34
"243","Ricky Ledo",2013,43,76.75,79.25,33.5
